"","year","custom_total"
"1",2000,-212
"2",2001,-1582
"3",2002,-349
"4",2003,-783
"5",2004,-246
"6",2005,-643
"7",2006,-836
"8",2007,-176
"9",2008,-115
"10",2009,-191
"11",2010,-1278
"12",2011,-155
"13",2012,-901
"14",2013,-2646
"15",2014,-1269
"16",2015,-266
"17",2016,-653
"18",2017,-2676
"19",2018,-4212
"20",2019,-3278
