year,BF_yravg
2000,-0.9
2001,-3.5803212851405624
2002,-1.1073446327683616
2003,-1.8553719008264462
2004,-0.464
2005,-1.9315068493150684
2006,-1.4974358974358974
2007,-0.9468599033816425
2008,-0.6564885496183206
2009,-0.6433566433566433
2010,-2.6878612716763004
2011,-0.8169642857142857
2012,-3.4459876543209877
2013,-4.372641509433962
2014,-2.779284833538841
2015,-2.171912832929782
2016,-2.848901098901099
2017,-4.4159113796576035
2018,-4.575103734439834
2019,-5
