"","year","custom_total"
"1",2000,420
"2",2001,37
"3",2002,-28
"4",2003,-213
"5",2004,-278
"6",2005,-90
"7",2006,-200
"8",2007,-282
"9",2008,36
"10",2009,-570
"11",2010,-1171
"12",2011,-129
"13",2012,-827
"14",2013,798
"15",2014,-238
"16",2015,212
"17",2016,-470
"18",2017,-994
"19",2018,-11970
"20",2019,-5493
