"","Year-Month","sentiment","n"
"206","2015_9","joy",110
"207","2015_9","disgust",75
"208","2015_9","surprise",72
"209","2015_9","Total",1836
"210","2015_10","positive",293
"211","2015_10","negative",205
"212","2015_10","trust",184
"213","2015_10","fear",128
"214","2015_10","anticipation",98
"215","2015_10","anger",85
"216","2015_10","sadness",69
"217","2015_10","joy",65
"218","2015_10","disgust",41
"219","2015_10","surprise",38
"220","2015_10","Total",1206
"221","2015_11","positive",180
"222","2015_11","trust",108
"223","2015_11","negative",105
"224","2015_11","fear",73
"225","2015_11","anger",55
"226","2015_11","anticipation",51
"227","2015_11","joy",41
"228","2015_11","sadness",41
"229","2015_11","disgust",27
"230","2015_11","surprise",22
"231","2015_11","Total",703
"232","2015_12","positive",171
"233","2015_12","negative",114
"234","2015_12","trust",110
"235","2015_12","anticipation",67
"236","2015_12","fear",67
"237","2015_12","anger",52
"238","2015_12","joy",40
"239","2015_12","sadness",36
"240","2015_12","disgust",28
"241","2015_12","surprise",24
"242","2015_12","Total",709
"243","2016_1","positive",379
"244","2016_1","negative",301
"245","2016_1","trust",227
"246","2016_1","fear",175
"247","2016_1","anger",131
"248","2016_1","anticipation",124
"249","2016_1","sadness",102
"250","2016_1","joy",90
"251","2016_1","disgust",74
"252","2016_1","surprise",71
"253","2016_1","Total",1674
"254","2016_2","positive",179
"255","2016_2","negative",140
"256","2016_2","trust",121
"257","2016_2","anticipation",73
"258","2016_2","fear",71
"259","2016_2","anger",64
"260","2016_2","sadness",48
"261","2016_2","joy",36
"262","2016_2","disgust",31
"263","2016_2","surprise",26
"264","2016_2","Total",789
"265","2016_3","positive",186
"266","2016_3","trust",126
"267","2016_3","negative",114
"268","2016_3","anticipation",73
"269","2016_3","fear",71
"270","2016_3","anger",56
"271","2016_3","joy",42
"272","2016_3","sadness",35
"273","2016_3","surprise",27
"274","2016_3","disgust",22
"275","2016_3","Total",752
"276","2016_4","positive",219
"277","2016_4","negative",159
"278","2016_4","trust",146
"279","2016_4","fear",97
"280","2016_4","anticipation",81
"281","2016_4","anger",74
"282","2016_4","sadness",56
"283","2016_4","joy",54
"284","2016_4","surprise",34
"285","2016_4","disgust",33
"286","2016_4","Total",953
"287","2016_5","positive",270
"288","2016_5","negative",188
"289","2016_5","trust",175
"290","2016_5","fear",107
"291","2016_5","anticipation",98
"292","2016_5","anger",90
"293","2016_5","sadness",73
"294","2016_5","joy",69
"295","2016_5","surprise",44
"296","2016_5","disgust",43
"297","2016_5","Total",1157
"298","2016_6","positive",191
"299","2016_6","negative",120
"300","2016_6","trust",120
"301","2016_6","anticipation",73
"302","2016_6","fear",68
"303","2016_6","anger",52
"304","2016_6","joy",42
"305","2016_6","sadness",39
"306","2016_6","surprise",33
"307","2016_6","disgust",27
"308","2016_6","Total",765
"309","2016_7","positive",218
"310","2016_7","negative",171
"311","2016_7","trust",149
"312","2016_7","fear",101
"313","2016_7","anticipation",90
"314","2016_7","anger",83
"315","2016_7","sadness",60
"316","2016_7","joy",49
"317","2016_7","surprise",42
"318","2016_7","disgust",37
"319","2016_7","Total",1000
"320","2016_8","positive",149
"321","2016_8","negative",115
"322","2016_8","trust",99
"323","2016_8","fear",70
"324","2016_8","anticipation",61
"325","2016_8","anger",51
"326","2016_8","sadness",42
"327","2016_8","joy",32
"328","2016_8","disgust",27
"329","2016_8","surprise",19
"330","2016_8","Total",665
"331","2016_9","positive",302
"332","2016_9","negative",246
"333","2016_9","trust",187
"334","2016_9","fear",131
"335","2016_9","anger",119
"336","2016_9","anticipation",115
"337","2016_9","sadness",97
"338","2016_9","joy",77
"339","2016_9","disgust",67
"340","2016_9","surprise",60
"341","2016_9","Total",1401
"342","2016_10","positive",192
"343","2016_10","negative",154
"344","2016_10","trust",128
"345","2016_10","fear",88
"346","2016_10","anger",72
"347","2016_10","anticipation",66
"348","2016_10","sadness",59
"349","2016_10","joy",45
"350","2016_10","disgust",41
"351","2016_10","surprise",25
"352","2016_10","Total",870
"353","2016_11","positive",326
"354","2016_11","negative",272
"355","2016_11","trust",217
"356","2016_11","fear",151
"357","2016_11","anticipation",132
"358","2016_11","anger",125
"359","2016_11","sadness",96
"360","2016_11","joy",92
"361","2016_11","surprise",74
"362","2016_11","disgust",62
"363","2016_11","Total",1547
"364","2016_12","positive",394
"365","2016_12","negative",316
"366","2016_12","trust",244
"367","2016_12","fear",167
"368","2016_12","anger",140
"369","2016_12","anticipation",138
"370","2016_12","sadness",111
"371","2016_12","joy",99
"372","2016_12","disgust",69
"373","2016_12","surprise",63
"374","2016_12","Total",1741
"375","2012_8","positive",400
"376","2012_8","negative",348
"377","2012_8","trust",252
"378","2012_8","fear",194
"379","2012_8","anger",178
"380","2012_8","anticipation",153
"381","2012_8","sadness",127
"382","2012_8","disgust",85
"383","2012_8","joy",83
"384","2012_8","surprise",64
"385","2012_8","Total",1884
"386","2017_1","positive",300
"387","2017_1","negative",193
"388","2017_1","trust",181
"389","2017_1","fear",112
"390","2017_1","anticipation",104
"391","2017_1","anger",84
"392","2017_1","joy",74
"393","2017_1","sadness",67
"394","2017_1","surprise",49
"395","2017_1","disgust",46
"396","2017_1","Total",1210
"397","2017_2","positive",504
"398","2017_2","negative",416
"399","2017_2","trust",329
"400","2017_2","fear",245
"401","2017_2","anger",211
"402","2017_2","anticipation",173
"403","2017_2","sadness",164
"404","2017_2","joy",123
"405","2017_2","disgust",109
"406","2017_2","surprise",92
"407","2017_2","Total",2366
"408","2017_3","positive",438
"409","2017_3","negative",368
"410","2017_3","trust",270
"411","2017_3","fear",191
"412","2017_3","anger",178
"413","2017_3","anticipation",160
"414","2017_3","sadness",154
"415","2017_3","joy",117
"416","2017_3","disgust",93
"417","2017_3","surprise",67
"418","2017_3","Total",2036
"419","2017_4","positive",679
"420","2017_4","negative",622
"421","2017_4","trust",409
"422","2017_4","fear",335
"423","2017_4","anger",291
"424","2017_4","anticipation",248
"425","2017_4","sadness",236
"426","2017_4","joy",175
"427","2017_4","disgust",141
"428","2017_4","surprise",141
"429","2017_4","Total",3277
"430","2017_5","positive",487
"431","2017_5","negative",366
"432","2017_5","trust",295
"433","2017_5","fear",197
"434","2017_5","anticipation",173
"435","2017_5","anger",172
"436","2017_5","sadness",142
"437","2017_5","joy",119
"438","2017_5","disgust",94
"439","2017_5","surprise",93
"440","2017_5","Total",2138
"441","2017_6","positive",542
"442","2017_6","negative",506
"443","2017_6","trust",329
"444","2017_6","fear",267
"445","2017_6","anger",221
"446","2017_6","anticipation",208
"447","2017_6","sadness",204
"448","2017_6","joy",149
"449","2017_6","disgust",119
"450","2017_6","surprise",102
"451","2017_6","Total",2647
"452","2017_7","positive",528
"453","2017_7","negative",477
"454","2017_7","trust",314
"455","2017_7","fear",260
"456","2017_7","anger",227
"457","2017_7","anticipation",192
"458","2017_7","sadness",183
"459","2017_7","joy",139
"460","2017_7","disgust",113
"461","2017_7","surprise",99
"462","2017_7","Total",2532
"463","2012_9","positive",469
"464","2012_9","negative",382
"465","2012_9","trust",287
"466","2012_9","fear",197
"467","2012_9","anger",167
"468","2012_9","anticipation",155
"469","2012_9","sadness",144
"470","2012_9","joy",115
"471","2012_9","disgust",99
"472","2012_9","surprise",75
"473","2012_9","Total",2090
"474","2017_8","positive",537
"475","2017_8","negative",526
"476","2017_8","trust",324
"477","2017_8","fear",297
"478","2017_8","anger",252
"479","2017_8","anticipation",205
"480","2017_8","sadness",191
"481","2017_8","joy",128
"482","2017_8","disgust",113
"483","2017_8","surprise",105
"484","2017_8","Total",2678
"485","2017_9","positive",602
"486","2017_9","negative",599
"487","2017_9","trust",366
"488","2017_9","fear",333
"489","2017_9","anger",297
"490","2017_9","sadness",234
"491","2017_9","anticipation",227
"492","2017_9","disgust",150
"493","2017_9","joy",146
"494","2017_9","surprise",122
"495","2017_9","Total",3076
"496","2017_10","positive",433
"497","2017_10","negative",386
"498","2017_10","trust",276
"499","2017_10","fear",210
"500","2017_10","anger",180
"501","2017_10","anticipation",154
"502","2017_10","sadness",154
"503","2017_10","joy",103
"504","2017_10","disgust",98
"505","2017_10","surprise",77
"506","2017_10","Total",2071
"507","2017_11","positive",723
"508","2017_11","negative",668
"509","2017_11","trust",430
"510","2017_11","fear",342
"511","2017_11","anger",278
"512","2017_11","anticipation",263
"513","2017_11","sadness",257
"514","2017_11","joy",191
"515","2017_11","disgust",165
"516","2017_11","surprise",143
"517","2017_11","Total",3460
"518","2017_12","positive",391
"519","2017_12","negative",318
"520","2017_12","trust",240
"521","2017_12","fear",182
"522","2017_12","anticipation",156
"523","2017_12","anger",138
"524","2017_12","sadness",117
"525","2017_12","joy",100
"526","2017_12","disgust",71
"527","2017_12","surprise",71
"528","2017_12","Total",1784
"529","2018_1","positive",291
"530","2018_1","negative",230
"531","2018_1","trust",176
"532","2018_1","fear",144
"533","2018_1","anticipation",115
"534","2018_1","anger",110
"535","2018_1","sadness",91
"536","2018_1","joy",72
"537","2018_1","disgust",60
"538","2018_1","surprise",39
"539","2018_1","Total",1328
"540","2012_5","positive",619
"541","2012_5","negative",589
"542","2012_5","trust",373
"543","2012_5","fear",339
"544","2012_5","anger",264
"545","2012_5","anticipation",242
"546","2012_5","sadness",229
"547","2012_5","joy",178
"548","2012_5","disgust",147
"549","2012_5","surprise",133
"550","2012_5","Total",3113
"551","2018_2","positive",442
"552","2018_2","negative",382
"553","2018_2","trust",277
"554","2018_2","fear",220
"555","2018_2","anger",180
"556","2018_2","anticipation",172
"557","2018_2","sadness",163
"558","2018_2","joy",117
"559","2018_2","disgust",92
"560","2018_2","surprise",82
"561","2018_2","Total",2127
"562","2018_3","positive",716
"563","2018_3","negative",668
"564","2018_3","trust",448
"565","2018_3","fear",356
"566","2018_3","anger",296
"567","2018_3","anticipation",293
"568","2018_3","sadness",266
"569","2018_3","joy",200
"570","2018_3","disgust",174
"571","2018_3","surprise",162
"572","2018_3","Total",3579
"573","2018_4","positive",758
"574","2018_4","negative",677
"575","2018_4","trust",448
"576","2018_4","fear",359
"577","2018_4","anger",302
"578","2018_4","anticipation",283
