"","Year-Month","sentiment","n"
"245","2004_4","positive",143
"246","2004_4","negative",91
"247","2004_9","positive",161
"248","2004_9","negative",111
"249","2003_12","positive",243
"250","2003_12","negative",167
"251","2004_3","positive",210
"252","2004_3","negative",182
"253","2003_10","positive",253
"254","2003_10","negative",180
"255","2004_11","positive",219
"256","2004_11","negative",157
"257","2004_12","positive",207
"258","2004_12","negative",138
"259","2004_7","positive",162
"260","2004_7","negative",126
"261","2005_3","positive",236
"262","2005_3","negative",183
"263","2005_6","positive",336
"264","2005_6","negative",245
"265","2005_8","positive",147
"266","2005_8","negative",111
"267","2004_10","positive",87
"268","2004_10","negative",57
"269","2002_10","positive",181
"270","2002_10","negative",89
"271","2006_3","positive",268
"272","2006_3","negative",205
"273","2005_11","positive",287
"274","2005_11","negative",188
"275","2005_12","positive",74
"276","2005_12","negative",48
"277","2005_4","positive",281
"278","2005_4","negative",240
"279","2004_1","positive",145
"280","2004_1","negative",99
"281","2006_2","positive",192
"282","2006_2","negative",136
"283","2005_10","positive",153
"284","2005_10","negative",97
"285","2005_5","positive",318
"286","2005_5","negative",290
"287","2006_11","positive",124
"288","2006_11","negative",71
"289","2007_2","positive",176
"290","2007_2","negative",108
"291","2006_4","positive",344
"292","2006_4","negative",239
"293","2005_1","positive",138
"294","2005_1","negative",107
"295","2006_12","positive",287
"296","2006_12","negative",194
"297","2006_6","positive",142
"298","2006_6","negative",99
"299","2006_7","positive",83
"300","2006_7","negative",49
"301","2007_3","positive",99
"302","2007_3","negative",75
"303","2007_5","positive",342
"304","2007_5","negative",276
"305","2006_9","positive",265
"306","2006_9","negative",167
"307","2006_10","positive",113
"308","2006_10","negative",87
"309","2007_6","positive",135
"310","2007_6","negative",104
"311","2007_4","positive",267
"312","2007_4","negative",204
"313","2004_5","positive",35
"314","2004_5","negative",20
"315","2006_5","positive",141
"316","2006_5","negative",93
"317","2005_9","positive",151
"318","2005_9","negative",93
"319","2007_12","positive",275
"320","2007_12","negative",218
"321","2008_2","positive",143
"322","2008_2","negative",87
"323","2005_7","positive",283
"324","2005_7","negative",254
"325","2007_7","positive",214
"326","2007_7","negative",190
"327","2007_11","positive",92
"328","2007_11","negative",64
"329","2008_6","positive",135
"330","2008_6","negative",72
"331","2007_9","positive",81
"332","2007_9","negative",62
"333","2003_5","positive",19
"334","2003_5","negative",12
"335","2008_1","positive",27
"336","2008_1","negative",14
"337","2008_7","positive",128
"338","2008_7","negative",85
"339","2008_5","positive",87
"340","2008_5","negative",64
"341","2008_11","positive",207
"342","2008_11","negative",165
"343","2007_8","positive",178
"344","2007_8","negative",132
"345","2008_4","positive",76
"346","2008_4","negative",32
"347","2009_6","positive",184
"348","2009_6","negative",126
"349","2008_12","positive",141
"350","2008_12","negative",109
"351","2009_4","positive",80
"352","2009_4","negative",36
"353","2009_9","positive",313
"354","2009_9","negative",254
"355","2006_1","positive",81
"356","2006_1","negative",45
"357","2009_3","positive",147
"358","2009_3","negative",88
"359","2009_7","negative",61
"360","2009_7","positive",61
"361","2009_11","positive",318
"362","2009_11","negative",248
"363","2007_1","positive",39
"364","2007_1","negative",26
"365","2009_12","positive",91
"366","2009_12","negative",72
"367","2009_8","positive",207
"368","2009_8","negative",163
"369","2009_10","positive",132
"370","2009_10","negative",89
"371","2009_1","positive",166
"372","2009_1","negative",136
"373","2009_5","positive",130
"374","2009_5","negative",71
"375","2008_9","positive",35
"376","2008_9","negative",21
"377","2008_8","positive",64
"378","2008_8","negative",53
"379","2009_2","positive",91
"380","2009_2","negative",65
"381","2007_10","positive",58
"382","2007_10","negative",44
"383","2008_3","positive",47
"384","2008_3","negative",25
"385","2008_10","positive",63
"386","2008_10","negative",38
"387","2000_3","positive",307
"388","2000_3","negative",206
"389","2000_2","positive",48
"390","2000_2","negative",41
"391","2001_3","positive",22
"392","2001_3","negative",17
"393","2001_9","positive",75
"394","2001_9","negative",38
"395","2002_12","positive",18
"396","2002_12","negative",11
"397","2004_2","positive",95
"398","2004_2","negative",61
"399","2001_8","positive",123
"400","2001_8","negative",84
"401","2002_3","positive",29
"402","2002_3","negative",9
"403","2001_2","positive",39
"404","2001_2","negative",24
"405","2001_4","positive",55
"406","2001_4","negative",54
"407","2002_2","positive",28
"408","2002_2","negative",25
"409","2002_8","positive",32
"410","2002_8","negative",21
"411","2005_2","positive",89
"412","2005_2","negative",64
"413","2000_6","positive",46
"414","2000_6","negative",32
"415","2000_8","positive",35
"416","2000_8","negative",21
"417","2000_10","positive",33
"418","2000_10","negative",17
"419","2000_11","negative",9
"420","2000_11","positive",8
"421","2000_12","negative",26
"422","2000_12","positive",16
"423","2001_11","positive",73
"424","2001_11","negative",49
"425","2003_3","positive",72
"426","2003_3","negative",43
"427","2003_6","negative",22
"428","2003_6","positive",22
"429","2011_1","positive",410
"430","2011_1","negative",311
"431","2011_2","positive",152
"432","2011_2","negative",79
"433","2011_3","positive",129
"434","2011_3","negative",81
"435","2011_4","positive",125
"436","2011_4","negative",61
"437","2011_5","positive",258
"438","2011_5","negative",176
"439","2011_6","positive",140
"440","2011_6","negative",78
"441","2011_7","positive",139
"442","2011_7","negative",97
"443","2011_8","positive",185
"444","2011_8","negative",112
"445","2011_9","positive",199
"446","2011_9","negative",119
"447","2011_10","positive",287
"448","2011_10","negative",278
"449","2011_11","positive",329
"450","2011_11","negative",253
"451","2011_12","positive",338
"452","2011_12","negative",208
"453","2012_1","positive",246
"454","2012_1","negative",177
"455","2012_2","positive",337
"456","2012_2","negative",231
"457","2012_3","positive",324
"458","2012_3","negative",251
