index,word,sentiment,score
237,ablaze,positive,0
238,ablaze,sadness,0
239,ablaze,surprise,0
240,ablaze,trust,0
241,abnormal,anger,0
242,abnormal,anticipation,0
243,abnormal,disgust,1
244,abnormal,fear,0
245,abnormal,joy,0
246,abnormal,negative,1
247,abnormal,positive,0
248,abnormal,sadness,0
249,abnormal,surprise,0
250,abnormal,trust,0
251,aboard,anger,0
252,aboard,anticipation,0
253,aboard,disgust,0
254,aboard,fear,0
255,aboard,joy,0
256,aboard,negative,0
257,aboard,positive,0
258,aboard,sadness,0
259,aboard,surprise,0
260,aboard,trust,0
261,abode,anger,0
262,abode,anticipation,0
263,abode,disgust,0
264,abode,fear,0
265,abode,joy,0
266,abode,negative,0
267,abode,positive,0
268,abode,sadness,0
269,abode,surprise,0
270,abode,trust,0
271,abolish,anger,1
272,abolish,anticipation,0
273,abolish,disgust,0
274,abolish,fear,0
275,abolish,joy,0
276,abolish,negative,1
277,abolish,positive,0
278,abolish,sadness,0
279,abolish,surprise,0
280,abolish,trust,0
281,abolition,anger,0
282,abolition,anticipation,0
283,abolition,disgust,0
284,abolition,fear,0
285,abolition,joy,0
286,abolition,negative,1
287,abolition,positive,0
288,abolition,sadness,0
289,abolition,surprise,0
290,abolition,trust,0
291,abominable,anger,0
292,abominable,anticipation,0
293,abominable,disgust,1
294,abominable,fear,1
295,abominable,joy,0
296,abominable,negative,1
297,abominable,positive,0
298,abominable,sadness,0
299,abominable,surprise,0
300,abominable,trust,0
301,abomination,anger,1
302,abomination,anticipation,0
303,abomination,disgust,1
304,abomination,fear,1
305,abomination,joy,0
306,abomination,negative,1
307,abomination,positive,0
308,abomination,sadness,0
309,abomination,surprise,0
310,abomination,trust,0
311,aboriginal,anger,0
312,aboriginal,anticipation,0
313,aboriginal,disgust,0
314,aboriginal,fear,0
315,aboriginal,joy,0
316,aboriginal,negative,0
317,aboriginal,positive,0
318,aboriginal,sadness,0
319,aboriginal,surprise,0
320,aboriginal,trust,0
321,abort,anger,0
322,abort,anticipation,0
323,abort,disgust,0
324,abort,fear,0
325,abort,joy,0
326,abort,negative,1
327,abort,positive,0
328,abort,sadness,0
329,abort,surprise,0
330,abort,trust,0
331,abortion,anger,0
332,abortion,anticipation,0
333,abortion,disgust,1
334,abortion,fear,1
335,abortion,joy,0
336,abortion,negative,1
337,abortion,positive,0
338,abortion,sadness,1
339,abortion,surprise,0
340,abortion,trust,0
341,abortive,anger,0
342,abortive,anticipation,0
343,abortive,disgust,0
344,abortive,fear,0
345,abortive,joy,0
346,abortive,negative,1
347,abortive,positive,0
348,abortive,sadness,1
349,abortive,surprise,0
350,abortive,trust,0
351,abound,anger,0
352,abound,anticipation,0
353,abound,disgust,0
354,abound,fear,0
355,abound,joy,0
356,abound,negative,0
357,abound,positive,0
358,abound,sadness,0
359,abound,surprise,0
360,abound,trust,0
361,abovementioned,anger,0
362,abovementioned,anticipation,0
363,abovementioned,disgust,0
364,abovementioned,fear,0
365,abovementioned,joy,0
366,abovementioned,negative,0
367,abovementioned,positive,1
368,abovementioned,sadness,0
369,abovementioned,surprise,0
370,abovementioned,trust,0
371,abrasion,anger,0
372,abrasion,anticipation,0
373,abrasion,disgust,0
374,abrasion,fear,0
375,abrasion,joy,0
376,abrasion,negative,1
377,abrasion,positive,0
378,abrasion,sadness,0
379,abrasion,surprise,0
380,abrasion,trust,0
381,abroad,anger,0
382,abroad,anticipation,0
383,abroad,disgust,0
384,abroad,fear,0
385,abroad,joy,0
386,abroad,negative,0
387,abroad,positive,0
388,abroad,sadness,0
389,abroad,surprise,0
390,abroad,trust,0
391,abrogate,anger,0
392,abrogate,anticipation,0
393,abrogate,disgust,0
394,abrogate,fear,0
395,abrogate,joy,0
396,abrogate,negative,1
397,abrogate,positive,0
398,abrogate,sadness,0
399,abrogate,surprise,0
400,abrogate,trust,0
401,abrupt,anger,0
402,abrupt,anticipation,0
403,abrupt,disgust,0
404,abrupt,fear,0
405,abrupt,joy,0
406,abrupt,negative,0
407,abrupt,positive,0
408,abrupt,sadness,0
409,abrupt,surprise,1
410,abrupt,trust,0
411,abruptly,anger,0
412,abruptly,anticipation,0
413,abruptly,disgust,0
414,abruptly,fear,0
415,abruptly,joy,0
416,abruptly,negative,0
417,abruptly,positive,0
418,abruptly,sadness,0
419,abruptly,surprise,0
420,abruptly,trust,0
421,abscess,anger,0
422,abscess,anticipation,0
423,abscess,disgust,0
424,abscess,fear,0
425,abscess,joy,0
426,abscess,negative,1
427,abscess,positive,0
428,abscess,sadness,1
429,abscess,surprise,0
430,abscess,trust,0
431,absence,anger,0
432,absence,anticipation,0
433,absence,disgust,0
434,absence,fear,1
435,absence,joy,0
436,absence,negative,1
437,absence,positive,0
438,absence,sadness,1
439,absence,surprise,0
440,absence,trust,0
441,absent,anger,0
442,absent,anticipation,0
443,absent,disgust,0
444,absent,fear,0
445,absent,joy,0
446,absent,negative,1
447,absent,positive,0
448,absent,sadness,1
449,absent,surprise,0
450,absent,trust,0
451,absentee,anger,0
452,absentee,anticipation,0
453,absentee,disgust,0
454,absentee,fear,0
455,absentee,joy,0
456,absentee,negative,1
457,absentee,positive,0
458,absentee,sadness,1
459,absentee,surprise,0
460,absentee,trust,0
461,absenteeism,anger,0
462,absenteeism,anticipation,0
463,absenteeism,disgust,0
464,absenteeism,fear,0
465,absenteeism,joy,0
466,absenteeism,negative,1
467,absenteeism,positive,0
468,absenteeism,sadness,0
469,absenteeism,surprise,0
470,absenteeism,trust,0
471,absinthe,anger,0
472,absinthe,anticipation,0
473,absinthe,disgust,0
474,absinthe,fear,0
475,absinthe,joy,0
476,absinthe,negative,0
477,absinthe,positive,0
478,absinthe,sadness,0
479,absinthe,surprise,0
480,absinthe,trust,0
481,absolute,anger,0
482,absolute,anticipation,0
483,absolute,disgust,0
484,absolute,fear,0
485,absolute,joy,0
486,absolute,negative,0
487,absolute,positive,1
488,absolute,sadness,0
489,absolute,surprise,0
490,absolute,trust,0
491,absolution,anger,0
492,absolution,anticipation,0
493,absolution,disgust,0
494,absolution,fear,0
495,absolution,joy,1
496,absolution,negative,0
497,absolution,positive,1
498,absolution,sadness,0
499,absolution,surprise,0
500,absolution,trust,1
501,absorbed,anger,0
502,absorbed,anticipation,0
503,absorbed,disgust,0
504,absorbed,fear,0
505,absorbed,joy,0
506,absorbed,negative,0
507,absorbed,positive,1
508,absorbed,sadness,0
509,absorbed,surprise,0
510,absorbed,trust,0
511,absorbent,anger,0
512,absorbent,anticipation,0
513,absorbent,disgust,0
514,absorbent,fear,0
515,absorbent,joy,0
516,absorbent,negative,0
517,absorbent,positive,0
518,absorbent,sadness,0
519,absorbent,surprise,0
520,absorbent,trust,0
521,absorbing,anger,0
522,absorbing,anticipation,0
523,absorbing,disgust,0
524,absorbing,fear,0
525,absorbing,joy,0
526,absorbing,negative,0
527,absorbing,positive,0
528,absorbing,sadness,0
529,absorbing,surprise,0
530,absorbing,trust,0
531,absorption,anger,0
532,absorption,anticipation,0
533,absorption,disgust,0
534,absorption,fear,0
535,absorption,joy,0
536,absorption,negative,0
537,absorption,positive,0
538,absorption,sadness,0
539,absorption,surprise,0
540,absorption,trust,0
541,abstain,anger,0
542,abstain,anticipation,0
543,abstain,disgust,0
544,abstain,fear,0
545,abstain,joy,0
546,abstain,negative,0
547,abstain,positive,0
548,abstain,sadness,0
549,abstain,surprise,0
550,abstain,trust,0
551,abstention,anger,0
552,abstention,anticipation,0
553,abstention,disgust,0
554,abstention,fear,0
555,abstention,joy,0
556,abstention,negative,0
557,abstention,positive,0
558,abstention,sadness,0
559,abstention,surprise,0
560,abstention,trust,0
561,abstinence,anger,0
562,abstinence,anticipation,0
563,abstinence,disgust,0
564,abstinence,fear,0
565,abstinence,joy,0
566,abstinence,negative,0
567,abstinence,positive,0
568,abstinence,sadness,0
569,abstinence,surprise,0
570,abstinence,trust,0
571,abstract,anger,0
572,abstract,anticipation,0
573,abstract,disgust,0
574,abstract,fear,0
575,abstract,joy,0
576,abstract,negative,0
577,abstract,positive,0
578,abstract,sadness,0
579,abstract,surprise,0
580,abstract,trust,0
581,abstraction,anger,0
582,abstraction,anticipation,0
583,abstraction,disgust,0
584,abstraction,fear,0
585,abstraction,joy,0
586,abstraction,negative,0
587,abstraction,positive,0
588,abstraction,sadness,0
589,abstraction,surprise,0
590,abstraction,trust,0
591,absurd,anger,0
592,absurd,anticipation,0
593,absurd,disgust,0
594,absurd,fear,0
595,absurd,joy,0
596,absurd,negative,1
597,absurd,positive,0
598,absurd,sadness,0
599,absurd,surprise,0
600,absurd,trust,0
601,absurdity,anger,0
602,absurdity,anticipation,0
603,absurdity,disgust,0
604,absurdity,fear,0
605,absurdity,joy,0
606,absurdity,negative,1
607,absurdity,positive,0
608,absurdity,sadness,0
609,absurdity,surprise,0
610,absurdity,trust,0
611,abundance,anger,0
612,abundance,anticipation,1
613,abundance,disgust,1
614,abundance,fear,0
615,abundance,joy,1
616,abundance,negative,1
617,abundance,positive,1
618,abundance,sadness,0
619,abundance,surprise,0
620,abundance,trust,1
621,abundant,anger,0
622,abundant,anticipation,0
623,abundant,disgust,0
624,abundant,fear,0
625,abundant,joy,1
626,abundant,negative,0
627,abundant,positive,1
628,abundant,sadness,0
629,abundant,surprise,0
630,abundant,trust,0
631,abuse,anger,1
632,abuse,anticipation,0
633,abuse,disgust,1
634,abuse,fear,1
635,abuse,joy,0
636,abuse,negative,1
637,abuse,positive,0
638,abuse,sadness,1
639,abuse,surprise,0
640,abuse,trust,0
641,abutment,anger,0
642,abutment,anticipation,0
643,abutment,disgust,0
644,abutment,fear,0
645,abutment,joy,0
646,abutment,negative,0
647,abutment,positive,0
648,abutment,sadness,0
649,abutment,surprise,0
650,abutment,trust,0
651,aby,anger,0
652,aby,anticipation,0
653,aby,disgust,0
654,aby,fear,0
655,aby,joy,0
656,aby,negative,0
657,aby,positive,0
658,aby,sadness,0
659,aby,surprise,0
660,aby,trust,0
661,abysmal,anger,0
662,abysmal,anticipation,0
663,abysmal,disgust,0
664,abysmal,fear,0
665,abysmal,joy,0
666,abysmal,negative,1
667,abysmal,positive,0
668,abysmal,sadness,1
669,abysmal,surprise,0
670,abysmal,trust,0
671,abyss,anger,0
672,abyss,anticipation,0
673,abyss,disgust,0
674,abyss,fear,1
675,abyss,joy,0
676,abyss,negative,1
677,abyss,positive,0
678,abyss,sadness,1
679,abyss,surprise,0
680,abyss,trust,0
681,academic,anger,0
682,academic,anticipation,0
683,academic,disgust,0
684,academic,fear,0
685,academic,joy,0
686,academic,negative,0
687,academic,positive,1
688,academic,sadness,0
689,academic,surprise,0
690,academic,trust,1
691,academy,anger,0
692,academy,anticipation,0
693,academy,disgust,0
694,academy,fear,0
695,academy,joy,0
696,academy,negative,0
697,academy,positive,1
698,academy,sadness,0
699,academy,surprise,0
700,academy,trust,0
701,accede,anger,0
702,accede,anticipation,0
703,accede,disgust,0
704,accede,fear,0
705,accede,joy,0
706,accede,negative,0
707,accede,positive,0
708,accede,sadness,0
709,accede,surprise,0
710,accede,trust,0
711,accelerate,anger,0
712,accelerate,anticipation,1
713,accelerate,disgust,0
714,accelerate,fear,0
715,accelerate,joy,0
716,accelerate,negative,0
717,accelerate,positive,0
718,accelerate,sadness,0
719,accelerate,surprise,0
720,accelerate,trust,0
721,acceleration,anger,0
722,acceleration,anticipation,0
723,acceleration,disgust,0
724,acceleration,fear,0
725,acceleration,joy,0
726,acceleration,negative,0
727,acceleration,positive,0
728,acceleration,sadness,0
729,acceleration,surprise,0
730,acceleration,trust,0
731,accent,anger,0
732,accent,anticipation,0
733,accent,disgust,0
734,accent,fear,0
735,accent,joy,0
736,accent,negative,0
737,accent,positive,0
738,accent,sadness,0
739,accent,surprise,0
740,accent,trust,0
741,accentuate,anger,0
742,accentuate,anticipation,0
743,accentuate,disgust,0
744,accentuate,fear,0
745,accentuate,joy,0
746,accentuate,negative,0
747,accentuate,positive,0
748,accentuate,sadness,0
749,accentuate,surprise,0
750,accentuate,trust,0
751,accept,anger,0
752,accept,anticipation,0
753,accept,disgust,0
754,accept,fear,0
755,accept,joy,0
756,accept,negative,0
757,accept,positive,0
758,accept,sadness,0
759,accept,surprise,0
760,accept,trust,0
761,acceptable,anger,0
762,acceptable,anticipation,0
763,acceptable,disgust,0
764,acceptable,fear,0
765,acceptable,joy,0
766,acceptable,negative,0
767,acceptable,positive,1
768,acceptable,sadness,0
769,acceptable,surprise,0
770,acceptable,trust,0
771,acceptance,anger,0
772,acceptance,anticipation,0
773,acceptance,disgust,0
774,acceptance,fear,0
775,acceptance,joy,0
776,acceptance,negative,0
777,acceptance,positive,1
778,acceptance,sadness,0
779,acceptance,surprise,0
780,acceptance,trust,0
781,access,anger,0
782,access,anticipation,0
783,access,disgust,0
784,access,fear,0
785,access,joy,0
786,access,negative,0
