"","Year-Month","sentiment","n"
"245","2010_11","positive",509
"246","2010_11","negative",452
"247","2010_12","positive",475
"248","2010_12","negative",417
"249","2010_2","positive",453
"250","2010_2","negative",415
"251","2010_3","positive",454
"252","2010_3","negative",379
"253","2010_4","positive",432
"254","2010_4","negative",305
"255","2010_5","positive",446
"256","2010_5","negative",331
"257","2010_6","positive",392
"258","2010_6","negative",321
"259","2010_7","positive",404
"260","2010_7","negative",288
"261","2010_8","positive",342
"262","2010_8","negative",248
"263","2010_9","positive",559
"264","2010_9","negative",458
"265","2011_1","positive",732
"266","2011_1","negative",606
"267","2011_10","positive",379
"268","2011_10","negative",371
"269","2011_11","positive",478
"270","2011_11","negative",387
"271","2011_12","positive",449
"272","2011_12","negative",301
"273","2011_2","positive",269
"274","2011_2","negative",192
"275","2011_3","positive",248
"276","2011_3","negative",164
"277","2011_4","positive",259
"278","2011_4","negative",208
"279","2011_5","positive",405
"280","2011_5","negative",265
"281","2011_6","positive",203
"282","2011_6","negative",133
"283","2011_7","positive",346
"284","2011_7","negative",259
"285","2011_8","positive",349
"286","2011_8","negative",259
"287","2011_9","positive",282
"288","2011_9","negative",184
"289","2012_1","positive",331
"290","2012_1","negative",272
"291","2012_10","positive",528
"292","2012_10","negative",466
"293","2012_11","positive",448
"294","2012_11","negative",312
"295","2012_12","positive",456
"296","2012_12","negative",388
"297","2012_2","positive",642
"298","2012_2","negative",504
"299","2012_3","positive",426
"300","2012_3","negative",353
"301","2012_4","positive",439
"302","2012_4","negative",402
"303","2012_5","positive",717
"304","2012_5","negative",692
"305","2012_6","positive",572
"306","2012_6","negative",499
"307","2012_7","positive",500
"308","2012_7","negative",419
"309","2012_8","positive",507
"310","2012_8","negative",453
"311","2012_9","positive",611
"312","2012_9","negative",531
"313","2013_1","positive",471
"314","2013_1","negative",390
"315","2013_10","positive",485
"316","2013_10","negative",381
"317","2013_11","positive",546
"318","2013_11","negative",505
"319","2013_12","positive",548
"320","2013_12","negative",435
"321","2013_2","negative",498
"322","2013_2","positive",488
"323","2013_3","positive",593
"324","2013_3","negative",489
"325","2013_4","positive",526
"326","2013_4","negative",448
"327","2013_5","positive",513
"328","2013_5","negative",461
"329","2013_6","positive",727
"330","2013_6","negative",683
"331","2013_7","positive",463
"332","2013_7","negative",354
"333","2013_8","positive",400
"334","2013_8","negative",327
"335","2013_9","positive",393
"336","2013_9","negative",270
"337","2014_1","positive",465
"338","2014_1","negative",382
"339","2014_10","positive",454
"340","2014_10","negative",333
"341","2014_11","positive",603
"342","2014_11","negative",510
"343","2014_12","positive",563
"344","2014_12","negative",476
"345","2014_2","positive",444
"346","2014_2","negative",382
"347","2014_3","positive",504
"348","2014_3","negative",436
"349","2014_4","positive",498
"350","2014_4","negative",425
"351","2014_5","positive",509
"352","2014_5","negative",458
"353","2014_6","positive",427
"354","2014_6","negative",340
"355","2014_7","positive",512
"356","2014_7","negative",393
"357","2014_8","positive",361
"358","2014_8","negative",263
"359","2014_9","positive",386
"360","2014_9","negative",300
"361","2015_1","positive",401
"362","2015_1","negative",301
"363","2015_10","positive",340
"364","2015_10","negative",266
"365","2015_11","positive",256
"366","2015_11","negative",163
"367","2015_12","positive",199
"368","2015_12","negative",140
"369","2015_2","positive",288
"370","2015_2","negative",191
"371","2015_3","positive",397
"372","2015_3","negative",300
"373","2015_4","positive",422
"374","2015_4","negative",345
"375","2015_5","positive",404
"376","2015_5","negative",293
"377","2015_6","positive",348
"378","2015_6","negative",274
"379","2015_7","positive",382
"380","2015_7","negative",259
"381","2015_8","positive",361
"382","2015_8","negative",301
"383","2015_9","positive",435
"384","2015_9","negative",344
"385","2016_1","positive",442
"386","2016_1","negative",382
"387","2016_10","positive",330
"388","2016_10","negative",297
"389","2016_11","positive",422
"390","2016_11","negative",380
"391","2016_12","positive",473
"392","2016_12","negative",394
"393","2016_2","positive",219
"394","2016_2","negative",180
"395","2016_3","positive",393
"396","2016_3","negative",338
"397","2016_4","positive",338
"398","2016_4","negative",274
"399","2016_5","positive",365
"400","2016_5","negative",268
"401","2016_6","positive",336
"402","2016_6","negative",237
"403","2016_7","positive",304
"404","2016_7","negative",245
"405","2016_8","positive",244
"406","2016_8","negative",180
"407","2016_9","positive",392
"408","2016_9","negative",346
"409","2017_1","positive",456
"410","2017_1","negative",375
"411","2017_10","positive",562
"412","2017_10","negative",542
"413","2017_11","positive",811
"414","2017_11","negative",762
"415","2017_12","positive",503
"416","2017_12","negative",413
"417","2017_2","positive",667
"418","2017_2","negative",596
"419","2017_3","positive",576
"420","2017_3","negative",487
"421","2017_4","positive",801
"422","2017_4","negative",774
"423","2017_5","positive",671
"424","2017_5","negative",561
"425","2017_6","positive",635
"426","2017_6","negative",609
"427","2017_7","positive",652
"428","2017_7","negative",613
"429","2017_8","positive",629
"430","2017_8","negative",625
"431","2017_9","negative",688
"432","2017_9","positive",681
"433","2018_1","positive",516
"434","2018_1","negative",474
"435","2018_10","negative",760
"436","2018_10","positive",741
"437","2018_11","negative",758
"438","2018_11","positive",721
"439","2018_12","negative",881
"440","2018_12","positive",853
"441","2018_2","positive",652
"442","2018_2","negative",564
"443","2018_3","negative",1059
"444","2018_3","positive",966
"445","2018_4","negative",1031
"446","2018_4","positive",955
"447","2018_5","negative",1001
"448","2018_5","positive",927
"449","2018_6","negative",1071
"450","2018_6","positive",939
"451","2018_7","negative",887
"452","2018_7","positive",840
"453","2018_8","negative",792
"454","2018_8","positive",750
"455","2018_9","negative",813
"456","2018_9","positive",759
"457","2019_1","negative",773
"458","2019_1","positive",737
"459","2019_10","negative",675
"460","2019_10","positive",672
"461","2019_11","positive",646
"462","2019_11","negative",603
"463","2019_12","positive",656
"464","2019_12","negative",609
"465","2019_2","negative",790
"466","2019_2","positive",751
"467","2019_3","positive",722
"468","2019_3","negative",705
"469","2019_4","positive",684
"470","2019_4","negative",626
"471","2019_5","negative",997
"472","2019_5","positive",931
"473","2019_6","negative",911
"474","2019_6","positive",844
"475","2019_7","positive",762
"476","2019_7","negative",737
"477","2019_8","negative",988
"478","2019_8","positive",906
"479","2019_9","negative",751
"480","2019_9","positive",744
