"","Year.Month","combined_negative","combined_positive","BF_negative","BF_positive","EF_negative","EF_positive"
"120","2009_9",-315,399,-135,212,-254,313
"121","2010_1",-365,433,-284,350,-141,227
"122","2010_10",-523,555,-323,427,-376,399
"123","2010_11",-452,509,-339,399,-262,364
"124","2010_12",-417,475,-322,374,-197,304
"125","2010_2",-415,453,-339,368,-268,335
"126","2010_3",-379,454,-210,292,-274,343
"127","2010_4",-305,432,-161,258,-226,326
"128","2010_5",-331,446,-278,383,-153,263
"129","2010_6",-321,392,-196,234,-216,313
"130","2010_7",-288,404,-202,309,-163,273
"131","2010_8",-248,342,-139,191,-144,229
"132","2010_9",-458,559,-324,398,-350,475
"133","2011_1",-606,732,-537,673,-311,410
"134","2011_10",-371,379,-231,256,-278,287
"135","2011_11",-387,478,-317,421,-253,329
"136","2011_12",-301,449,-155,243,-208,338
"137","2011_2",-192,269,-150,210,-79,152
"138","2011_3",-164,248,-103,182,-81,129
"139","2011_4",-208,259,-169,199,-61,125
"140","2011_5",-265,405,-155,283,-176,258
"141","2011_6",-133,203,-73,105,-78,140
"142","2011_7",-259,346,-211,296,-97,139
"143","2011_8",-259,349,-239,310,-112,185
"144","2011_9",-184,282,-116,190,-119,199
"145","2012_1",-272,331,-180,226,-177,246
"146","2012_10",-466,528,-226,273,-355,443
"147","2012_11",-312,448,-193,305,-212,323
"148","2012_12",-388,456,-304,358,-170,280
"149","2012_2",-504,642,-443,596,-231,337
"150","2012_3",-353,426,-164,230,-251,324
"151","2012_4",-402,439,-356,360,-129,226
"152","2012_5",-692,717,-589,618,-292,397
"153","2012_6",-499,572,-376,442,-268,401
"154","2012_7",-419,500,-294,353,-243,364
"155","2012_8",-453,507,-348,399,-204,299
"156","2012_9",-531,611,-382,468,-340,457
"157","2013_1",-390,471,-231,312,-256,333
"158","2013_10",-381,485,-308,397,-197,321
"159","2013_11",-505,546,-421,455,-187,286
"160","2013_12",-435,548,-378,492,-162,257
"161","2013_2",-498,488,-406,436,-242,322
